"48","SOY NUEVA NORTE","AV. SANTA FE 2932","4821-0773/4821-1856","4059"
"49","SOY SOCIAL ONCE","AV. SANTA FE 2099","4382-0705/3750-8756","1391"
"50","TKL FACULTAD","MARCELO T.DE ALVEAR 2045","4821-2787/2788","105"
"51","TKL NAVEYRA","AV. LAS HERAS 2318","4803-3011/0885","92"
"52","TKL QUINTANA","AV. QUINTANA 392","4813-1189/5328","34"
"53","TKL SAN AGUSTIN","AV. LAS HERAS 2699","4807-2790/2569/4802-5563","1352"
"54","TKL TEKIEL","AV. SANTA FE 2399","4821-5134/4823-1551","356"
"55","SOY ARENALES","ARENALES 1302","4812-9078/4811-2883","4065"
"56","SOY SAN NICOLAS","AV. SANTA FE 1299","4811-4152/56/ 4816-1009","29"
"57","LEPA","JUAN DE GARAY 2565","4308-4006/5368-2553","9903"
"58","RP.LA BOT.DE MARTIN","LAVALLE 646","4393-9230","2556"
"59","TKL AMERICA","AV. CORDOBA 1402","4372-9633/4373-2191","154"
"60","DANERI","CAMPANA 2502","4580-2299","373"
"61","GENERAL PAZ","CONSTITUYENTES 6117","4572-5130/4574-5866","219"
"62","NVA.SOCIAL FENIX III","ARTIGAS 4901","4572-9756","1407"
"63","COSMOPOLITA","AV.NAZCA 1120","4611-0233 / 15-3699-1928","22"
"64","CA.DE.FA.","AV. SCALABRINI ORTIZ 14","4854-3069","9817"
"65","CENTRAL","AV. MONROE 4968","4523-5148/4523-3178","1125"
"66","OPENFARMA LIBERTADOR","AV. DEL LIBERTADOR 14995","4798-2683/2670","6123"
"67","BECCAR","AV. CENTENARIO 1601","4742-7640","8206"
"68","M & A","AV. SAN MARTIN 404","4668-2607","7973"
"69","RIAL","ALVEAR 2571","(03327)-481210","489"
"70","BILLINGHURST","MORENO 4106","4842-9614","12376"
"71","SAMBAN","BERNARDO DE IRIGOYEN 601","4737-9946/4737-8799","2073"
"72","DUTKIEWICZ","INDEPENDENCIA 2980","4762-1168/4116-9943","138"
"73","GIGLIOTTI","AV. SAN MARTIN 2643","4512-7200/3","2261"
"74","CASTELLI","AV. A.T. DE ALVEAR 2767","4748-4350","112"
"75","JKS","AV. A.T. DE ALVEAR 602","4748-1020/7893","433"
"76","ZONA VITAL TORCUATO","AV. A.T. DE ALVEAR 1999","4748-8500","2186"
"77","GLASER","MISIONES 6578","4751-0509 / 4751-3197","790"
"78","IRIS","HIPOLITO YRIGOYEN 1756","4791-2522 / 4795-3480","8009"
"79","FLORIDA","AV. MITRE 1755","4761-3403","2200"
"80","LOPEZ","PTE PERON 905","(0348)-4471264","474"
"81","GASPARIN","HIPOLITO YRIGOYEN 786","4740-6147/4726-0337","2141"
"82","AVENIDA","GOB. VERGARA 3263","4665-5754","1568"
"83","BEHIGO","JAURETCHE 999","4665-0667","9853"
"84","SPINELLA","MOCORETA 338","(0348)-4445476","8073"
"85","PAZOS","PTE. PERON 4708","(02320)-422198 / 429059","439"
"86","SELMA","TOMKINSON 2995","4723-0319","10610"
"87","SELMA LA LUCILA","RAWSON 3785","4512-1430","1856"
"88","CALAPRABA","RUTA 8 KM. 21.6","4769-7613/7617/1507","1013"
"89","GARAY","RUTA 26 NRO. 2495","(0348)-4467412","10823"
"90","VERGNE","BETHARRAM 1780","4842-2119","3598"
"91","AGUIRRE","AV. SANTA FE 2791","4508-8831","4812"
"92","EL FENIX","AV. FLEMING 2135","4717-6601","2243"
"93","ZONA VITAL MARTINEZ","AV. SANTA FE 2013","4793-4774","192"
"94","PAGES","AV.PTE.PERON 46","4451-0038","8763"
"95","TKL LA PERLA","VELEZ SARSFIELD 4653","4762-1102","2279"
"96","LA SUIZO","AV. MAIPU 2223","4633-5032","40"
"97","SELMA","AV. MAIPU 3201","4512-1470/71/73","245"
"98","ZINGA","CORONEL UZAL 4300","4717-2181/4580-9323/22","1117"
"99","CARRICABURU","BENITO PEREZ GALDOS 8406","4769-0634/4739-0700","282"
"100","NAVARRO","SARRATEA 15 (EX-T.DE PILAR)","(02241)-426215","4794"
"101","ALVAREZ","ARAOZ ALFARO 1425","(0230)-4485611","98952"
"102","ZONA VITAL DELTA","STA MARIA DE LAS CONCHAS 4793","4500-9210","10651"
"103","GOLDBERG","AV. AMERICA 751","4757-0247","2263"
"104","LIBERTADOR 2200","AV.LIBERTADOR 2211","4744-2406","91675"
"105","MITRE","CONSTITUCION 652","4744-3132","2160"
"106","ANTONELLO","9 DE JULIO 329","4513-0508","3589"
"107","PISCICELLI","ANDRES ROLON 138","4723-7441","3586"
"108","SELMA","AV. CENTENARIO 300","4513-0507/0510","1111"
"109","ADELINA HUE","AV. RICARDO BALBIN 3129","4755-7644/4752-1832","12798"
"110","DEL FERROCARRIL","BELGRANO 3202","4755-0120","8263"
"111","NUEVA PASCUAL","BELGRANO 3600","4752-1832/4752-2357","2325"
"112","TKL CENTRAL S.MIGUEL","AV. MITRE 1181","4664-9418/ 4664-6263","8591"
"113","PASTEUR","AV. LA PLATA 3718","4757-2542","1085"
"114","SARMIENTO","CAZON 1200","4749-0643","1981"
"115","WASSERMANN","DIRECTORIO 507","(02320)-491321","8720"
"116","NUEVA DEL LIBERTADOR","AV.DEL LIBERTADOR 1500","4791-1616","12455"
"117","OPENFARMA VTE. LOPEZ","AV. MAIPU 918","4797-5034","341"
"118","TROILO","AV. MAIPU 699","4512-0400/1","2254"
"119","PELMAN","AV. JUAN DOMINGO PERON 3302","4744-2852","2168"
"120","SELMA","PARANA 6502","4512-8305/03","262"
"121","REVELANT","JOSE HERNANDEZ 3000","4768-0313","2238"
"122","NUEVA CRUCCI","MIGUEL ANGEL 5463","4844-1962/6090","2230"
"123","CERONE","AV. RODRIGUEZ PE#A 4475","4713-1213/4712-1486","1213"
"124","REPUBLICA NVA.LIBANO","REPUBLICA DEL LIBANO 4113","4753-2121","7386"
"125","PRINCIPAL TESEI","AV. GOB. VERGARA 2284","4450-5164","1009"
"126","NUEVA VIRREYES","AVELLANEDA 2899","4725-4818/4745-8282","9689"
"127","ROSSI DE CASTELAR","AV. INOCENCIO ARIAS 2408","4627-4000/4628-2525","1614"
"128","CANO","EL PAYADOR 1953 C1 S2 M19","4487-1122/4487-5307","1844"
"129","MOYANO","ICALMA 7648","(02202)-421369","7877"
"130","SHOPPING CATAN","BR.GRAL.J.M.DE ROSAS 14446","(02202)-410361/439377/410378","11234"
"131","SUNCHALES 6307","SUNCHALES 6307","11-3626-3440","12598"
"132","ZIMERMAN","DOCTOR EQUIZA 4171","(02202)-422269","3339"
"133","HAEDO","CASEROS 2","4650-7031/4460-1444","342"
"134","BUACAR","AV. J.M.DE ROSAS 6933","4625-0606 (INT.11)","1201"
"135","DEMARIA","CRISTIANIA 1893","4625-0521","1212"
"136","ESCALANTE","CRISTIANIA 1324","4625-1581","9580"
"137","GUBERMAN","J.M. DE ROSAS 5892","3531-6714","90685"
"138","C.OESTE ITUZAINGO","LAS HERAS 381","4624-4774","7521"
"139","SAS","SOLER 79","4624-6859/4661-4047","124"
"140","SEGURADO","AV. MOSCONI 1619","4651-2620","1086"
"141","CORNEO","AV. SAN  MARTIN 5230","4454-9657","1847"
"142","ESTANISLAO","ESTANISLAO DEL CAMPO 4229","4457-7824","12292"
"143","LA PLAZA","AV. LURO 5881","4626-6616/6484","202"
"144","RODRIGUEZ","PIEDRABUENA 6038","4467-1414","12466"
"145","RUIZ","PIEDRABUENA 6378","4626-0515","478"
"146","LIBERTAD","AV. EVA PERON 4321","(0220)-4948484","2670"
"147","NUEVA MIGUEL","RUTA 200 KM.40","(0220)-4998145","91276"
"148","CENTRAL OESTE FUNES","AV. DEL LIBERTADOR 363","(0220)-4851597","375"
"149","DE LA ESTACION MERLO","AV. LIBERTADOR 788","(0220)-4822360/0039","1539"
"150","A.S.AFINIDAD SOCIAL","JOLY 2597","(0237)-4661978","340"
"151","ALTOS DE MORENO","LIBERTADOR 299","(0237)-4638983","5963"
"152","DEL HIPER II","AV.GAONA S/N ESQ.G.BELL(LOC.7)","(0237)-4687106/4681205","7531"
"153","DEL SHOPPING","AV. VICTORICA 1128 Y GAONA","15-4036-1950","3567"
"154","VILA","CATAMARCA 501 ESQ. 9 DE JULIO","(0237)-4629882","92003"
"155","C. OESTE HALPERN","CORDOBA 303","4629-9247","264"
"156","CENTRAL MORON","AV. RIVADAVIA 18161","4483-4343/2431","265"
"157","CRAVENNA","AV. RIVADAVIA 18199","4483-4747/4333","1145"
"158","MODERNA","25 DE MAYO 139","4489-0951/4629-8598","76"
"159","CIENTIFICA FARMAX","SALVADOR DEL CARRIL 325","(0237)-4637260","74"
"160","MARTINOIA","AV. DE MAYO 899","4658-4909/4658-6547","775"
"161","NOGUERA","NOGUERA 23","(0220)-4829461/4824938","1007"
"162","MILENIO","DR.I.ARIETA 3552","4651-2424/4441-4942","3572"
"163","MOSCOVICH","H.YRIGOYEN 2305","4651-1613","5546"
"164","ROMANO","PTE. ILLIA 2302","4484-5600/4484-7055","380"
"165","VILELA","DR. ARIETA 3230","4484-7669","263"
"166","EL RELOJ DEL MERCADO","HUERTA S/N ESQ. DEL PRADO","4462-6060","7760"
"167","GALER","L.DE LA TORRE 474","4453-0521","1255"
"168","BARREIRO","TRIUNVIRATO 2482","4443-8869/2204-7560","12135"
"169","NUEVA SEGUI","SEGUI 602 ESQ. AVELLANEDA","4214-1932","167"
"170","ALEJANDRO KORN","AV.INDEPENDENCIA 111","(02225)-424671/425370","11387"
"171","CENTRAL AVELLANEDA","AV. MITRE 401","4201-7600/5820","37"
"172","DEL HIPER I","AV. H.YRIGOYEN 261 (EX PAVON)","4222-6461","5659"
"173","EL ALTO A","GUEMES 850","4204-0146/4203-4895","8409"
"174","UOM AVELLANEDA","AV. HIPOLITO YRIGOYEN 386","4222-0810/4201-0547","91863"
"175","SAIBENE","AV. MAIPU 202","4242-0051/0304","768"
"176","SINDICAL","AV. ALSINA 740","4202-4750/4242-7675","91424"
"177","FARMAPLUS 33","LISANDRO DE LA TORRE 1596","4216-4739","1110"
"178","FARMAPLUS 34","CALLE 14 NRO.4998","4226-6770/72","306"
"179","MUTUALIDAD DUCILO","AV. MITRE 442","4256-6059/1614","3550"
"180","SOL BERAZATEGUI","MITRE 2372","4216-7523","7596"
"181","SOY CASEROS","LAGO ALUMINE 719","4252-8752","8210"
"182","DI MEGLIO","URIBURU 501","4259-3923/4251-5394","1931"
"183","SANAR 5","CRAMER 448/50","4251-6729/4252-9029","9101"
"184","SOY SALUD","CERRITO 488","4252-4682","12062"
"185","BERNAL","9 DE JULIO 57","4252-2121 / 4521-4584","3610"
"186","MAGA SHOP BERNAL","AV. SAN MARTIN 756","4252-6733/6347","3710"
"187","MATTERA","AV. SAN MARTIN 600","4259-3079/2051-1949","91674"
"188","NORTE 2","COMANDANTE FRANCO 850","4251-5910/4259-8455","11098"
"189","SANAR 1","AV. LOS QUILMES 1","4251-8363/7681/7682/3580","7518"
"190","SANAR 7","DARDO ROCHA 427","4251-9593","96560"
"191","SANAR 9","9 DE JULIO 190","4251-1051/6236","1923"
"192","SOY FAR","LAVALLE 209","4251-0775","12229"
"193","SOY NUEVA VENTURA","AV.LOS QUILMES 736","4259-1424","11142"
"194","SOY ZAPIOLA BERNAL","ZAPIOLA 1057","4252-1723","431"
"195","MONCLUS","ALSINA 649","6082-8653","7800"
"196","PASTEUR","ALSINA 998","4299-0104/4240-4340","16"
"197","SANAR 6","DR.ARTURO U.ILLIA 1847","4252-1485/4259-6458","217"
"198","NUEVA EZEIZA","AVELLANEDA 70","4232-9576/4529","3418"
"199","SOY LUNA","MITRE 4324","4278-7505","1944"
"200","TOFANELLI","H. YRIGOYEN 5230","4226-0348","1015"
"201","TROPEANO","MORENO ESQ.HERNANDEZ","4254-7583","2113"
"202","CARCELLER","PRINGLES 3372","4237-2505","9348"
"203","MANUELA AMARELLE","AV. SAN MARTIN 2944","4287-5499","1965"
"204","SOY VARELA","AV.SAN MARTIN 3201","4237-7487","97309"
"205","NOBEL","CAMINO GRAL.BELGRANO 601","4204-8598","2072"
"206","KRUKOWSKI","AV. HIPOLITO YRIGOYEN 20119","(02224)-433909","1236"
"207","ESTACION HUDSON","CALLE 161 NRO 5806/5808","4215-5263","4047"
"208","SELLA","CALLE 413 NRO 847","(02229)-440763","6667"
"209","P.DE SALUD-MARMOL","BYNNON 3180","4291-1291","8825"
"210","ARGENTINA","ALEM 116","4244-1699 / 7533-6715","1134"
"211","UOM GORRITI","H. YRIGOYEN 9125","4244-5129/3924","2015"
"212","MARIA ROSA BOIANO","SITIO DE MONTEVIDEO 1640","4240-1486/4240-7802","175"
"213","REX","ITUZAINGO 1072","4241-1253/4225-2173","129"
"214","CALVAGNI","VIAMONTE 2393 ESQ.RIVADAVIA","4262-9280","5745"
"215","CENTRAL","HIPOLITO YRIGOYEN 3765","4247-8262","1124"
"216","NUEVA FCIA MOURIN","AV. HIPOLITO YRIGOYEN 4581","4240-3866/4479","90984"
"217","SANTA TERESA","AV.HIPOLITO YRIGOYEN 4147","4241-4366/2295","9684"
"218","NUEVA LLAVALLOL","AV. A. ARGENTINA 1644","7700-0068","1202"
"219","LUJILDE","ALSINA 838","5357-8978","483"
"220","NUEVA LONGCHAMPS","AV.LA AVIACION 991","4233-8248/8247","8204"
"221","PETIT","BOULEVARD BUENOS AIRES 1024","2072-7401/2064-5481","12438"
"222","BERNACHEA","CAMINO GRAL. BELGRANO 4601","4246-8849","2007"
"223","FRANCO","GENERAL RODRIGUEZ 129","4296-3458/4281-7271","2070"
"224","MALVINAS DE PEFESAN","NUESTRAS MALVINAS 450","4281-2083/1144","766"
"225","DEL ESTE","LAVALLE 895 ESQ.BRANDSEN","4257-0604/4486","3559"
"226","SOY DEL SUR","BRANDSEN 650","4257-0151","6350"
"227","SOY SANAR 52","H. IRIGOYEN 385","4253-8520","413"
"228","MAGA SHOP","AV. ANDRES BARANDA 200","4252-8576/3387 4251-4019","1948"
"229","MAGA SHOP MEGA SOL Q","JOAQUIN V.GONZALEZ 2001","4200-7067/2827","4654"
"230","QUILMES OESTE","12 DE OCTUBRE 402","5256-2127","1927"
"231","SANAR 10","COLON NRO.147(ESQ.MORENO)","4224-8825/8389","10772"
"232","SANAR 12","CARLOS PELLEGRINI 703","4253-0820/4224-7787","9443"
"233","SANAR 2","AV. CALCHAQUI 5186","4210-0170/0240","7542"
"234","SANAR 4","CALCHAQUI 836","4250-4081 / 5065-0413","10577"
"235","SANAR 8","12 DE OCTUBRE 2347","5065-0958","397"
"236","SOY DE QUILMES","HIPOLITO YRIGOYEN 162","4254-8462","12281"
"237","SOY DEL SOL","RODOLFO A. LOPEZ 2180","4200-6646","3587"
"238","SOY NUEVA 50","ANDRES BARANDA 396","4253-8916","9890"
"239","SOY QUILMES FACTORY","AV. CALCHAQUI 3950","4200-6915/12","1914"
"240","REMEDIOS S.C.S.","RAMON FRANCO 3399","4202-4436","1066"
"241","PALOPOLI","AV.844 NRO. 600","11-2603-7920","8220"
"242","SESSAREGO","AV. 844 NRO 1339","4200-4826","9333"
"243","SOY SOLANO 51","AV.893 NRO.4901","4213-2505","12352"
"244","DIAMANDY","AV. MITRE 2798","5218-6007/6356","109"
"245","SOY SARANDI SANAR 63","AV MITRE 3093","4024-7789","13002"
"246","PEREZ","CAMINO GENERAL BELGRANO 4228","4223-3881","12563"
"247","BARRA","AV. MEEKS 1021","4245-9344","2625"
"248","RED XXI","AV. H.YRIGOYEN 10581/83","4231-0803/0476","6229"
"249","P.DE SALUD XVII SCS","LAS HORTENSIAS 305-DPTO.2","4389-4711","12565"
"250","FARMAVIDA LANUS","CNEL.FCO.D'ELIA 2794","4228-3472/4208-4983","11160"
"251","UOM ALSINA","AV. PTE. PERON 2693","4208-3384  4115-6840/41","487"
"252","MAGA SHOP BELGRANO","BELGRANO 4600","4207-0091/4353-0266","261"
"253","SANAR 3","AV.CENTENARIO URUGUAYO 1209","4353-0377/4206-9992","8048"
"254","DE LAS FLORES","LAS FLORES 501","4207-7110","8588"
"255","MAGA SHOP ARGENTINA","FABIAN ONSARI 199","4227-6122/4353-0684","733"
"256","MAGA SHOP SOL WILDE","RAMON FRANCO 5919","4353-0644/45","3563"
"257","SANAR 11","LAS FLORES 884","4227-8617","9104"
"258","PEROGGI","HIPOLITO YRIGOYEN 548","(02281)-423256/434364","4273"
"259","DE LA BAHIA","11 DE ABRIL 296","(0291)-4526116/4554952","5391"
"260","DI NUCCI (BAHIA)","SALTA 405","(0291)-4552155/4501211","5571"
"261","NUEVO CENTRO","SARMIENTO 1099 ESQ.CERRITO","(0291)-4559655","7566"
"262","PIQUE","SAN MARTIN 117","(0291)-4548770","5393"
"263","AMARTINO","JULIAN O'ROARKE 2408","(03329)-480263","7759"
"264","ANCHORENA","BULNES 601","(03329)-480233","3817"
"265","BOEDO","STA.MARIA DE ORO 801 Y BOEDO","(03329)-485671","3841"
"266","BOLA#OS","L.PI#IERO 279","(03329)-484674","3842"
"267","BRAILLARD","MARIANO MORENO 1239","(03329)-486879","8278"
"268","CHERVAZ","CARRASCO 144","(03329)-484982","10756"
"269","DAUBIAN","ARAOZ 1101","(03329)-483323","622"
"270","DEL PUEBLO","ANCHORENA 1101","(03329)-480165","3844"
"271","DEL VARADERO","SAN MARTIN 1716","(03329)-480324","3845"
"272","ITALIANA","SANTA MARIA DE ORO 481","(03329)-480112","7946"
"273","LA FE","GORRITI 1401","(03329)-484190","9358"
"274","LA POPULAR","SAENZ 1300","(03329)-480316","5274"
"275","MUSANTE","BV.RENE SIMON 1280","(03329)-482615","3849"
"276","PETRUZZELLI","SAN MARTIN 2125","(03329)-480577","5288"
"277","RECHE","BELGRANO 350","(03329)-494037","3851"
"278","SILVANO","ANCHORENA 1152","(03329)-483907","7975"
"279","BERISSO","CALLE 11 NRO.2882 E/153 Y 152","(0221)-4613463","9876"
"280","NUEVA CA#UELAS","ALEM 966 ESQ.MITRE","(02226)-432800/1","5351"
"281","NVA.CA#UELAS EXPRESS","AV. LIBERTAD 1630","(02226)-431427","8327"
"282","DEL PARANA S.C.S.","FRENCH 470","(03489)-437000/468030","4467"
"283","MUT.SOC.ITALIANA","DR.DE DOMINICIS 734","(03489)-297705/422729","14091"
"284","SAN JOSE","AMEGHINO 902","(02323)-492475/492679","2573"
"285","PALA","R.ESCALADA DE SAN MARTIN 101","(02352)-472165","5819"
"286","ARAKAKI","CALLE 467 E/19 N.1294","(0221)-4724327","5975"
"287","CORONEL SUAREZ","LAVALLE Y AVELLANEDA","(02926)-430019","7532"
"288","DE LA CIUDAD","LAS HERAS 1498","(02926)-431666","3208"
"289","DEL PUEBLO","MITRE Y BRANDSEN","(02926)-422018","7536"
"290","DUARTE","BELGRANO 1269","(02926)-422230","7538"
"291","FASSI","AV. ALEMANES DEL VOLGA 2705","(02926)-421623","6760"
"292","FETTER","MITRE 621","(02926)-422778","7533"
"293","GOMEZ","AV.SAN MARTIN 218","(02926)-431713","7540"
"294","JAIME","BRANDSEN 616 Y BROWN","(02926)-422254","7539"
"295","MATTA","LAMADRID 1898 (ESQ.CONTURBI)","(02926)-422711","3206"
"296","MENNA","SIXTO RODRIGUEZ 693","(02926)-431467","4453"
"297","PASTEUR","BELGRANO 805","(02926)-422156","9927"
"298","PERRIG","URQUIZA 851","(02926)-423451","5672"
"299","SANTOMAURO","LAS HERAS 1242","(02926)-421261","7612"
"300","SCHUVAB","BELGRANO Y SARMIENTO","(02926)-422045","8563"
"301","SIND. LUZ Y FUERZA","AV. CASEY 1768","(02926)-424727","91954"
"302","SOTELO","HIPOLITO IRIGOYEN 855","(02926)-421739","3207"
"303","CIUDAD FLORAL","GELVEZ 647","(0348)-4424583","5630"
"304","HISAKI","25 DE MAYO 1033","(0348)-4420170","2144"
"305","ZANOTTA","RUTA 25 N.1805 (ESQ.MANSILLA)","(0348)-4424006","4038"
"306","CATALAN","RIVADAVIA Y SAN MARTIN","(03329)-493228","9246"
"307","GARCIA","SAN MARTIN 505","(03329)-493496","90412"
"308","GASPARETTO","BERNARDO DE IRIGOYEN 302","(0237)-4843738","4577"
"309","PALMER","AV. 25 DE MAYO 504/6","11-3212-7654","1508"
"310","LEWIN","AV. EVA PERON 209","(02224)-475137","93430"
"311","QUEVEDO","CALLE 8 S/N","(02284)-491116","8929"
"312","FERNANDEZ","CALLE 9 ENTRE 31 Y 32","(02933)-432614","5538"
"313","SANSEAU","CALLE 28 NRO. 933","(02933)-432130","7611"
"314","MUTUAL","ATALIVA ROCA 65","(0236)-4324046","5783"
"315","FERRANDO","CALLE 7 NRO. 51 ESQ. 33","(0221)-4257449/4832746","1806"
"316","OJEDA","DIAG 80 NRO.1053 (ESQ 49)","(0221)-4823675/42582358","1485"
"317","PALADINO","CALLE 29 NRO.1099 (ESQ.55)","(0221)-4526254","5171"
"318","SARTI","CALLE 38 NRO 751","(0221)-4233003","90998"
"319","FABIO","CALLE 7 NRO.324","(03487)-481313","4848"
"320","FERNANDEZ","AV. 11 NRO.500","(03487)-480387","677"
"321","FARMACASTRO 60","CALLE 60 NRO.2573 E/146 Y 147","(0221)-4504734/5124583","8877"
"322","ZONA VITAL LUJAN","NEGRITO MANUEL 758 ESQ.C.PELLE","(02323)-435800","4388"
"323","AMERICANA","RIVADAVIA 3201 ESQ.INDEPENDENC","(0223)-4950011","5021"
"324","BAUZA","ALBERTI 1601","(0223)-4512701/4519284","9526"
"325","BAUZA II","RIVADAVIA 2320","(0223)-4933223","5027"
"326","BAUZA-PHARMADIET","GUEMES 3185","(0223)-4518563","90207"
"327","BAUZA-PHARMALURO","SAN MARTIN 2726","(0223)-4944001","90700"
"328","BAUZA-VIZCAY","ALEM 3464","(0223)-4864449","90660"
"329","BERDASCO","CORDOBA 1998 ESQ. MORENO","(0223)-4950596/4955608","7943"
"330","LURO","AV. LURO 3499","(0223)-4730287/4731103","8887"
"331","MALLORCA","CALLE 24 NRO.381","(02272)-420259","99999"
"332","OSACAR","CALLE 19 428","(02272)-421156","12054"
"333","POZZOLI","CALLE 24 NRO.688","(02272)-430040","5944"
"334","TREZEGUET SCS","CALLE 22 NRO.380","(02272)-420027","8293"
"335","MUT.SOC.ESPA#OLA","CALLE 59 NRO 2433","(02262)-529330/529331/529332","764"
"336","C.E.C.O.","CORONEL SUAREZ 2752","(02284)-422013/421044","5161"
"337","MAGISTRAL","AV. SARMIENTO 2919","(02284)-431313","5941"
"338","MARTEL","GRAL. PAZ Y ESPA#A","(02284)-423530/445550","8756"
"339","OLAVARRIA","NECOCHEA 2762","(02284)-444477","4071"
"340","SPINOLA","NECOCHEA 3282","(02284)-422263/441419","8759"
"341","SIND. LUZ Y FUERZA","9 DE JULIO 1271","(02477)-412828/419192","1305"
"342","VALDEZ","AV.ALEMANES DEL VOLGA 4648","(02926)-422303","7164"
"343","SAN ISIDRO","AV.11 DE MAYO 1055","(02926)-494061","9323"
"344","GALENO SRL","MITRE 901","(02932)-427373","10766"
"345","LOBBE","RIVADAVIA Y SAN MARTIN","(03329)-498168","9254"
"346","DELBALDO","GRAL.PAZ 164","(02475)-462963","3298"
"347","BOCASSI","RAWSON 744","(02325)-443233","2429"
"348","SOC.CENTRO PATRONES","ESPA#A 512","(0336)-4453347","10228"
"349","ALLEGRONE","MITRE 1789","(03329)-426363","9075"
"350","ANTELO","MITRE 3190","(03329)-427889","8665"
"351","BARCELO","SARMIENTO 550","(03329)-491830","12979"
"352","BELLA VITA","LUCIO MANSILLA 199","(03329)-511217","8291"
"353","BOTTA","3 DE FEBRERO 601 Y URUGUAY","(03329)-425766","8592"
"354","CARRIZO","LITORAL 1080","(03329)-430669","9939"
"355","CEDRASCHI","AV. SARMIENTO 1601 Y PAVON","(03329)-426755","8602"
"356","COLIVA","ALMAFUERTE Y JUAN B.JUSTO","(03329)-422096","5207"
"357","GRAU","BELGRANO 1500","(03329)-420420","9269"
"358","GUSTAVO MOLINA","SAN MARTIN Y NAON","(03329)-423872","9267"
"359","LA CENTRAL","25 DE MAYO 802","(03329)-425253","9073"
